date,home_team,away_team,home_goals,away_goals
2021-04-03,Benevento,Parma,2.0,2.0
2021-04-03,Milan,Sampdoria,1.0,1.0
2021-04-03,Genoa,Fiorentina,1.0,1.0
2021-04-03,Sassuolo,Roma,2.0,2.0
2021-04-03,Cagliari,Hellas Verona,0.0,2.0
2021-04-07,Juventus,Napoli,2.0,1.0
2021-04-10,Parma,Milan,1.0,3.0
2021-04-10,Spezia,Crotone,3.0,2.0
2021-04-10,Udinese,Torino,0.0,1.0
2021-04-11,Fiorentina,Atalanta,2.0,3.0
2021-04-11,Roma,Bologna,1.0,0.0
2021-04-11,Sampdoria,Napoli,0.0,2.0
2021-04-11,Hellas Verona,Lazio,0.0,1.0
2021-04-11,Juventus,Genoa,3.0,1.0
2021-04-12,Benevento,Sassuolo,0.0,1.0
2021-04-17,Sassuolo,Fiorentina,3.0,1.0
2021-04-17,Cagliari,Parma,4.0,3.0
2021-04-17,Crotone,Udinese,1.0,2.0
2021-04-17,Sampdoria,Hellas Verona,3.0,1.0
2021-04-18,Milan,Genoa,2.0,1.0
2021-04-18,Lazio,Benevento,5.0,3.0
2021-04-18,Bologna,Spezia,4.0,1.0
2021-04-18,Atalanta,Juventus,1.0,0.0
2021-04-18,Torino,Roma,3.0,1.0
2021-04-18,Napoli,Internazionale,1.0,1.0
2021-04-20,Hellas Verona,Fiorentina,1.0,2.0
2021-04-21,Genoa,Benevento,2.0,2.0
2021-04-21,Milan,Sassuolo,1.0,2.0
2021-04-21,Bologna,Torino,1.0,1.0
2021-04-21,Udinese,Cagliari,0.0,1.0
2021-04-21,Spezia,Internazionale,1.0,1.0
2021-04-21,Crotone,Sampdoria,0.0,1.0
2021-04-21,Juventus,Parma,3.0,1.0
2021-04-22,Napoli,Lazio,5.0,2.0
2021-04-22,Roma,Atalanta,1.0,1.0
2021-04-24,Genoa,Spezia,2.0,0.0
2021-04-24,Sassuolo,Sampdoria,1.0,0.0
